,식당명,주소
78,제일돼지국밥,"부산광역시 부산진구 당감로 108, 협성피닉스타운 112동 1층 105호 (부암동)"
79,진주돼지국밥,"부산광역시 부산진구 부전로158번길 10, 1층 (부전동)"
80,소문난장터돼지국밥,"부산광역시 부산진구 동천로132번길 24, 1층 (전포동)"
81,본토돼지국밥,"부산광역시 부산진구 당감로45번길 16, 1층 (당감동)"
82,착한진돼지국밥,"부산광역시 부산진구 복지로13번길 73-11, 1층 (개금동)"
83,연돼지국밥,"부산광역시 부산진구 범일로192번길 33, 지상1층 (범천동)"
84,일타돼지국밥,"부산광역시 부산진구 거제천로 54, 1층 (양정동)"
85,최고쌍둥이돼지국밥,"부산광역시 부산진구 부전로152번길 37, 1층 (부전동)"
86,갈맷길돼지국밥,"부산광역시 부산진구 동평로 203, 1층 (부암동)"
87,소문난장터돼지국밥2호점,"부산광역시 부산진구 동성로96번길 10, 1층 (전포동)"
88,필순할매돼지국밥,"부산광역시 부산진구 새싹로8번길 16, 1층 (부전동)"
89,참잘돼지국밥,"부산광역시 부산진구 서전로 11-1, 신전빌딩 1층 (부전동)"
90,다복 돼지국밥,"부산광역시 부산진구 냉정로 204, 1층 (개금동)"
91,최고집명가돼지국밥,"부산광역시 부산진구 중앙대로 903-1, 1층 (양정동)"
92,흥부돼지국밥,"부산광역시 부산진구 전포대로200번길 24, 1층 (전포동)"
