식당명,A_1_가게_분위기,A_2_주차,A_3_좌석,B_1_국물_스타일,B_2_잡내_유무,B_3_밥_제공_방식,B_4_주요_고기_부위_특징,B_5_순대_종류,B_6_내장_유무,C_1_김치_특징,C_2_깍두기_특징,C_3_특색_반찬,D_1_대표_추천_메뉴,D_2_리필_정책,D_3_가격대,주소
가야공원돼지국밥,동네 맛집,주차지원,['입식 위주'],뽀얀/진한형,잡내 없음,따로국밥,"['항정살', '부드러운 식감', '푸짐한 고기 양']",정보 없음,내장 취급,익은 김치 스타일,달달한 맛,['소면 제공'],수육백반,"['밥 리필', '반찬 셀프바']",가성비(~9000원),부산광역시 금정구 장전온천천로 87
가야돼지국밥,동네 맛집,주차어려움,"['입식 위주', '혼밥 용이']",뽀얀/진한형,잡내 없음,따로국밥,"['항정살', '부드러운 식감', '푸짐한 고기 양']",찰순대,내장 취급,익은 김치 스타일,"['달달한 맛', '새콤한 맛']",['소면 제공'],기본 돼지국밥,"['국물 리필', '밥 리필']",평균(10000원),부산광역시 부산진구 가야대로454번길 11
고려돼지국밥,정보 없음,정보 없음,['입식 위주'],맑은/깔끔형,잡내 없음,따로국밥,"['살코기 위주', '부드러운 식감']",정보 없음,정보 없음,정보 없음,정보 없음,['소면 제공'],기본 돼지국밥,[],가성비(~9000원),부산광역시 금정구 중앙대로 1920
금문돼지국밥,노포/전통,주차공간,"['입식 위주', '좌식 있음']",맑은/깔끔형,잡내 없음,따로국밥,"['살코기 위주', '부드러운 식감', '푸짐한 고기 양']",찰순대,내장 취급,익은 김치 스타일,"['달달한 맛', '새콤한 맛']",['소면 제공'],섞어/모듬국밥,[],가성비(~9000원),부산광역시 금정구 금강로 684
늘찬돼지국밥,동네 맛집,주차어려움,['입식 위주'],맑은/깔끔형,잡내 없음,따로국밥,"['살코기 위주', '푸짐한 고기 양']",찰순대,내장 취급,겉절이 스타일,달달한 맛,['소면 제공'],돼지국밥,"['국물 리필', '밥 리필']",가성비(~9000원),"부산광역시 부산진구 당감서로 84, 아시아드빌딩상가 2층 207,208,209,218,219,220호"
다복 돼지국밥,동네 맛집,주차어려움,['입식 위주'],맑은/깔끔형,잡내 없음,따로국밥,"['다리고기', '푸짐한 고기 양', '살코기 위주']",고기/피순대,내장 취급,익은 김치 스타일,새콤한 맛,[],기본 돼지국밥,"['밥 리필', '반찬 셀프바']",가성비(~9000원),"부산광역시 부산진구 냉정로 204, 1층"
당감동 돼지국밥,동네 맛집,주차어려움,['입식 위주'],맑은/깔끔형,잡내 없음,따로국밥,"['항정살', '푸짐한 고기 양']",찰순대,정보 없음,익은 김치 스타일,정보 없음,[],기본 돼지국밥,"['밥 리필', '반찬 셀프바']",가성비(~9000원),부산광역시 부산진구 당감서로 7-1
또순이돼지국밥,동네 맛집,인근공영,"['입식 위주', '좌식 있음']",뽀얀/진한형,잡내 없음,따로국밥,"['삼겹/오겹', '살코기 위주', '푸짐한 고기 양', '부드러운 식감']",찰순대,내장 취급,겉절이 스타일,"['달달한 맛', '새콤한 맛']","['소면 제공', '양파절임 제공', '쌈채소 제공']",섞어/모듬국밥,"['국물 리필', '밥 리필', '반찬 셀프바']",가성비(~9000원),부산광역시 금정구 서부로 20
목촌돼지국밥 서동점,정보 없음,주차지원,"['입식 위주', '혼밥 용이']",뽀얀/진한형,잡내 없음,따로국밥,"['살코기 위주', '부드러운 식감', '푸짐한 고기 양']",찰순대,내장 취급,겉절이 스타일,달달한 맛,"['소면 제공', '무말랭이 제공']",수육백반,"['국물 리필', '반찬 셀프바']",평균(10000원),부산광역시 금정구 서동로 192
미광돼지국밥,동네 맛집,주차어려움,['입식 위주'],뽀얀/진한형,잡내 없음,따로국밥,"['부드러운 식감', '푸짐한 고기 양']",정보 없음,내장 취급,"['겉절이 스타일', '익은 김치 스타일']",정보 없음,['소면 제공'],기본 돼지국밥,['반찬 셀프바'],가성비(~9000원),부산광역시 금정구 서부곡로 13
밀양돼지국밥,동네 맛집,주차어려움,['입식 위주'],뽀얀/진한형,잡내 없음,따로국밥,"['삼겹/오겹', '부드러운 식감', '푸짐한 고기 양']",찰순대,내장 취급,익은 김치 스타일,정보 없음,[],섞어/모듬국밥,['반찬 셀프바'],가성비(~9000원),부산광역시 금정구 중앙대로1929번길 6
백양돼지국밥,동네 맛집,전용주차장,"['입식 위주', '좌식 있음']",맑은/깔끔형,잡내 없음,따로국밥,"['살코기 위주', '부드러운 식감', '푸짐한 고기 양']",찰순대,내장 취급,겉절이 스타일,달달한 맛,['소면 제공'],섞어/모듬국밥,['반찬 셀프바'],가성비(~9000원),부산광역시 부산진구 백양관문로 84
별미청 돼지국밥,동네 맛집,주차가능,"['입식 위주', '단체석 있음', '혼밥 용이']",뽀얀/진한형,잡내 없음,따로국밥,"['부드러운 식감', '푸짐한 고기 양']",찰순대,내장 취급,정보 없음,정보 없음,"['무말랭이 제공', '쌈채소 제공']",돼지국밥,"['밥 리필', '반찬 셀프바']",평균(10000원),부산광역시 금정구 금정로 249
본동개금돼지국밥,동네 맛집,주차어려움,"['입식 위주', '좌식 있음']",뽀얀/진한형,잡내 없음,토렴식,"['삼겹/오겹', '부드러운 식감', '푸짐한 고기 양']",고기/피순대,내장 취급,익은 김치 스타일,"['달달한 맛', '새콤한 맛']",['소면 제공'],섞어/모듬국밥,"['밥 리필', '반찬 셀프바']",가성비(~9000원),부산광역시 부산진구 백양대로 232-4
본토돼지국밥,동네 맛집,주차어려움,['입식 위주'],뽀얀/진한형,잡내 없음,따로국밥,"['얇게 썬 고기', '푸짐한 고기 양']",찰순대,내장 취급,겉절이 스타일,익은 김치 스타일,['소면 제공'],돼지국밥,[],가성비(~9000원),"부산광역시 부산진구 당감로45번길 16, 1층"
